teacher_id,name,department,qualified_course_ids,max_load,min_prep_periods,preferred_course_ids,avoid_course_ids,preferred_blocks,avoid_blocks
T668,MS_Ortiz_4,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T669,MS_Ortiz_5,world_lang,SPAN6|SPAN7|SPAN8,5,1,,,,
T670,MS_Patel,tech,TECH_MS,5,1,,,,
T671,MS_Patel_2,tech,TECH_MS,5,1,,,,
T672,MS_Patel_3,tech,TECH_MS,5,1,,,,
T673,MS_Patel_4,tech,TECH_MS,5,1,,,,
T674,MS_Patel_5,tech,TECH_MS,5,1,,,,
T675,MS_Reyes,pe,PE6|PE7|PE8,5,1,,,,
T676,MS_Reyes_2,pe,PE6|PE7|PE8,5,1,,,,
T677,MS_Reyes_3,pe,PE6|PE7|PE8,5,1,,,,
T678,MS_Reyes_4,pe,PE6|PE7|PE8,5,1,,,,
T679,MS_Reyes_5,pe,PE6|PE7|PE8,5,1,,,,
T680,MS_Stone,pe,PE6|PE7|PE8,5,1,,,,
T681,MS_Stone_2,pe,PE6|PE7|PE8,5,1,,,,
T682,MS_Stone_3,pe,PE6|PE7|PE8,5,1,,,,
T683,MS_Stone_4,pe,PE6|PE7|PE8,5,1,,,,
T684,MS_Stone_5,pe,PE6|PE7|PE8,5,1,,,,
T685,MS_Singh,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T686,MS_Singh_2,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T687,MS_Singh_3,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T688,MS_Singh_4,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T689,MS_Singh_5,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T690,MS_Tan,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T691,MS_Tan_2,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T692,MS_Tan_3,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T693,MS_Tan_4,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
T694,MS_Tan_5,arts,MUS_MS|DRAMA_MS|ART_MS,5,1,,,,
